Date: 2023-10-29 12:43:42s, Time_Cost: 97s, Epoch: [49/100],Val_PSNR: 48.48, Val_SSIM: 0.9998
Date: 2023-10-29 12:45:19s, Time_Cost: 97s, Epoch: [50/100],Val_PSNR: 49.08, Val_SSIM: 0.9998
Date: 2023-10-29 12:46:55s, Time_Cost: 97s, Epoch: [51/100],Val_PSNR: 49.00, Val_SSIM: 0.9998
Date: 2023-10-29 12:48:32s, Time_Cost: 97s, Epoch: [52/100],Val_PSNR: 49.46, Val_SSIM: 0.9998
Date: 2023-10-29 12:50:09s, Time_Cost: 97s, Epoch: [53/100],Val_PSNR: 49.44, Val_SSIM: 0.9998
Date: 2023-10-29 12:51:46s, Time_Cost: 97s, Epoch: [54/100],Val_PSNR: 49.99, Val_SSIM: 0.9999
Date: 2023-10-29 12:53:23s, Time_Cost: 97s, Epoch: [55/100],Val_PSNR: 49.89, Val_SSIM: 0.9998
Date: 2023-10-29 12:55:00s, Time_Cost: 97s, Epoch: [56/100],Val_PSNR: 50.14, Val_SSIM: 0.9999
Date: 2023-10-29 12:56:37s, Time_Cost: 97s, Epoch: [57/100],Val_PSNR: 50.40, Val_SSIM: 0.9999
Date: 2023-10-29 12:58:14s, Time_Cost: 97s, Epoch: [58/100],Val_PSNR: 50.97, Val_SSIM: 0.9999
Date: 2023-10-29 12:59:50s, Time_Cost: 97s, Epoch: [59/100],Val_PSNR: 51.34, Val_SSIM: 0.9999
Date: 2023-10-29 13:01:27s, Time_Cost: 97s, Epoch: [60/100],Val_PSNR: 50.94, Val_SSIM: 0.9999
Date: 2023-10-29 13:03:04s, Time_Cost: 97s, Epoch: [61/100],Val_PSNR: 51.84, Val_SSIM: 0.9999
Date: 2023-10-29 13:04:41s, Time_Cost: 97s, Epoch: [62/100],Val_PSNR: 51.66, Val_SSIM: 0.9999
Date: 2023-10-29 13:06:18s, Time_Cost: 97s, Epoch: [63/100],Val_PSNR: 52.48, Val_SSIM: 0.9999
Date: 2023-10-29 13:07:54s, Time_Cost: 97s, Epoch: [64/100],Val_PSNR: 52.79, Val_SSIM: 0.9999
Date: 2023-10-29 13:09:31s, Time_Cost: 97s, Epoch: [65/100],Val_PSNR: 52.78, Val_SSIM: 0.9999
Date: 2023-10-29 13:11:08s, Time_Cost: 97s, Epoch: [66/100],Val_PSNR: 52.74, Val_SSIM: 0.9999
Date: 2023-10-29 13:12:45s, Time_Cost: 97s, Epoch: [67/100],Val_PSNR: 53.18, Val_SSIM: 0.9999
Date: 2023-10-29 13:14:22s, Time_Cost: 97s, Epoch: [68/100],Val_PSNR: 53.86, Val_SSIM: 0.9999
Date: 2023-10-29 13:15:59s, Time_Cost: 97s, Epoch: [69/100],Val_PSNR: 53.69, Val_SSIM: 0.9999
Date: 2023-10-29 13:17:36s, Time_Cost: 97s, Epoch: [70/100],Val_PSNR: 54.05, Val_SSIM: 0.9999
Date: 2023-10-29 13:19:13s, Time_Cost: 97s, Epoch: [71/100],Val_PSNR: 54.26, Val_SSIM: 0.9999
Date: 2023-10-29 13:20:50s, Time_Cost: 97s, Epoch: [72/100],Val_PSNR: 54.87, Val_SSIM: 1.0000
Date: 2023-10-29 13:22:27s, Time_Cost: 97s, Epoch: [73/100],Val_PSNR: 54.94, Val_SSIM: 0.9999
Date: 2023-10-29 13:24:04s, Time_Cost: 97s, Epoch: [74/100],Val_PSNR: 55.42, Val_SSIM: 1.0000
Date: 2023-10-29 13:25:41s, Time_Cost: 97s, Epoch: [75/100],Val_PSNR: 55.84, Val_SSIM: 1.0000
Date: 2023-10-29 13:27:18s, Time_Cost: 97s, Epoch: [76/100],Val_PSNR: 56.31, Val_SSIM: 1.0000
Date: 2023-10-29 13:28:55s, Time_Cost: 97s, Epoch: [77/100],Val_PSNR: 56.51, Val_SSIM: 1.0000
Date: 2023-10-29 13:30:32s, Time_Cost: 97s, Epoch: [78/100],Val_PSNR: 56.63, Val_SSIM: 1.0000
Date: 2023-10-29 13:32:09s, Time_Cost: 97s, Epoch: [79/100],Val_PSNR: 57.34, Val_SSIM: 1.0000
Date: 2023-10-29 13:33:45s, Time_Cost: 97s, Epoch: [80/100],Val_PSNR: 57.60, Val_SSIM: 1.0000
Date: 2023-10-29 13:35:22s, Time_Cost: 97s, Epoch: [81/100],Val_PSNR: 58.15, Val_SSIM: 1.0000
Date: 2023-10-29 13:36:59s, Time_Cost: 97s, Epoch: [82/100],Val_PSNR: 58.98, Val_SSIM: 1.0000
Date: 2023-10-29 13:38:36s, Time_Cost: 97s, Epoch: [83/100],Val_PSNR: 59.06, Val_SSIM: 1.0000
Date: 2023-10-29 13:40:13s, Time_Cost: 97s, Epoch: [84/100],Val_PSNR: 59.48, Val_SSIM: 1.0000
Date: 2023-10-29 13:41:50s, Time_Cost: 97s, Epoch: [85/100],Val_PSNR: 59.55, Val_SSIM: 1.0000
Date: 2023-10-29 13:43:27s, Time_Cost: 97s, Epoch: [86/100],Val_PSNR: 60.38, Val_SSIM: 1.0000
Date: 2023-10-29 13:45:04s, Time_Cost: 97s, Epoch: [87/100],Val_PSNR: 61.51, Val_SSIM: 1.0000
Date: 2023-10-29 13:46:40s, Time_Cost: 97s, Epoch: [88/100],Val_PSNR: 61.68, Val_SSIM: 1.0000
